linha_origem;id;pesid;coluna;valor_original;motivo;acao
299066;704979;1569707;idade;127;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315522;707199;1575280;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315524;707199;1575278;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315525;707199;1575277;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315527;707199;1575275;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315528;707199;1575274;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315530;707199;1575272;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315531;707199;1575271;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315532;707199;1575270;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315534;707199;1575268;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315535;707199;1575267;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315536;707199;1575265;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315537;707199;1575264;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315538;707199;1575263;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315549;707199;1575280;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315551;707199;1575278;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315552;707199;1575277;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315554;707199;1575275;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315555;707199;1575274;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315557;707199;1575272;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315558;707199;1575271;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315559;707199;1575270;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315561;707199;1575268;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
315562;707199;1575267;idade;914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
